Time	Open	High	Low	Close	Volume
2020-09-25 10:45:00	1.27121	1.27192	1.27113	1.27151	671
2020-09-25 10:50:00	1.27151	1.27192	1.27121	1.27126	950
2020-09-25 10:55:00	1.27123	1.2713	1.27074	1.27104	1319
2020-09-25 11:00:00	1.27105	1.27109	1.26951	1.26957	2172
2020-09-25 11:05:00	1.26955	1.27046	1.26944	1.27044	1509
2020-09-25 11:10:00	1.27044	1.27044	1.26979	1.27033	572
2020-09-25 11:15:00	1.27033	1.27063	1.26986	1.27047	807
2020-09-25 11:20:00	1.27047	1.27116	1.27026	1.27082	662
2020-09-25 11:25:00	1.27081	1.27197	1.27043	1.27185	762
2020-09-25 11:30:00	1.27184	1.2726	1.27136	1.27234	880
2020-09-25 11:35:00	1.27233	1.27348	1.27227	1.27323	2351
2020-09-25 11:40:00	1.27322	1.27461	1.27304	1.27424	2096
2020-09-25 11:45:00	1.27433	1.2745	1.27377	1.27424	1438
2020-09-25 11:50:00	1.27422	1.2744	1.27371	1.27376	1410
2020-09-25 11:55:00	1.27376	1.27412	1.27361	1.27401	1104
2020-09-25 12:00:00	1.27401	1.27424	1.27351	1.27372	1481
2020-09-25 12:05:00	1.27369	1.27513	1.27363	1.27467	1146
2020-09-25 12:10:00	1.27466	1.27493	1.27323	1.27363	1113
2020-09-25 12:15:00	1.27368	1.27404	1.27347	1.27368	933
2020-09-25 12:20:00	1.27374	1.27422	1.27333	1.27352	1103
2020-09-25 12:25:00	1.27352	1.27352	1.27276	1.27318	1215
2020-09-25 12:30:00	1.27322	1.27386	1.27299	1.2733	972
2020-09-25 12:35:00	1.27331	1.27421	1.27303	1.27403	697
2020-09-25 12:40:00	1.27403	1.27422	1.27308	1.27355	1519
2020-09-25 12:45:00	1.27355	1.27443	1.27355	1.27436	803
2020-09-25 12:50:00	1.27437	1.27456	1.27366	1.2737	862
2020-09-25 12:55:00	1.27371	1.27412	1.27322	1.2738	1175
2020-09-25 13:00:00	1.2738	1.27381	1.27288	1.27331	1759
2020-09-25 13:05:00	1.27332	1.27358	1.27313	1.2735	825
2020-09-25 13:10:00	1.2735	1.27352	1.27233	1.27239	1762
2020-09-25 13:15:00	1.27242	1.27281	1.27207	1.2722	1101
2020-09-25 13:20:00	1.27225	1.27259	1.27205	1.27207	931
2020-09-25 13:25:00	1.27207	1.27212	1.27159	1.27164	946
2020-09-25 13:30:00	1.27167	1.27207	1.27119	1.2717	2810
2020-09-25 13:35:00	1.2717	1.27247	1.27158	1.2722	1396
2020-09-25 13:40:00	1.2722	1.27307	1.27218	1.27261	1707
2020-09-25 13:45:00	1.27261	1.27262	1.2713	1.27174	1815
2020-09-25 13:50:00	1.27174	1.27192	1.27122	1.27192	1237
2020-09-25 13:55:00	1.27196	1.27199	1.27117	1.27151	1737
2020-09-25 14:00:00	1.27153	1.27166	1.27111	1.27142	1364
2020-09-25 14:05:00	1.27144	1.27145	1.26988	1.27002	2649
2020-09-25 14:10:00	1.27003	1.27004	1.26878	1.26943	2707
2020-09-25 14:15:00	1.26943	1.27022	1.26923	1.27021	1801
2020-09-25 14:20:00	1.27023	1.27157	1.27002	1.27099	1588
2020-09-25 14:25:00	1.27099	1.27167	1.27083	1.27123	1831
2020-09-25 14:30:00	1.27123	1.27141	1.27051	1.27095	1346
2020-09-25 14:35:00	1.27092	1.27112	1.27037	1.27112	1804
2020-09-25 14:40:00	1.27111	1.27164	1.2708	1.2716	1931
2020-09-25 14:45:00	1.27161	1.27176	1.27117	1.27123	1259
2020-09-25 14:50:00	1.27126	1.27142	1.27026	1.2711	1843
2020-09-25 14:55:00	1.27109	1.27123	1.27033	1.27043	1697
2020-09-25 15:00:00	1.27042	1.27074	1.26975	1.26994	1473
2020-09-25 15:05:00	1.26995	1.27055	1.26871	1.26908	1689
2020-09-25 15:10:00	1.26907	1.27059	1.26892	1.27016	1128
2020-09-25 15:15:00	1.27015	1.27077	1.27003	1.27051	996
2020-09-25 15:20:00	1.27051	1.27052	1.2702	1.27021	772
2020-09-25 15:25:00	1.27022	1.27066	1.26988	1.27009	1229
2020-09-25 15:30:00	1.27009	1.27028	1.26956	1.27028	1523
2020-09-25 15:35:00	1.27026	1.2706	1.26959	1.26972	1503
2020-09-25 15:40:00	1.26972	1.27019	1.26928	1.26961	1481
2020-09-25 15:45:00	1.26964	1.26977	1.26952	1.26963	998
2020-09-25 15:50:00	1.26963	1.27041	1.2696	1.27001	928
2020-09-25 15:55:00	1.27002	1.2706	1.26993	1.27047	854
2020-09-25 16:00:00	1.27047	1.27082	1.27023	1.27075	1469
2020-09-25 16:05:00	1.27075	1.27143	1.27075	1.27142	666
2020-09-25 16:10:00	1.27139	1.27197	1.27132	1.27169	628
2020-09-25 16:15:00	1.27169	1.27171	1.27026	1.27075	879
2020-09-25 16:20:00	1.27074	1.27078	1.2702	1.27022	1015
2020-09-25 16:25:00	1.27021	1.27032	1.26972	1.27001	784
2020-09-25 16:30:00	1.27003	1.27006	1.26946	1.26994	1139
2020-09-25 16:35:00	1.26994	1.27051	1.26993	1.27041	876
2020-09-25 16:40:00	1.27042	1.27064	1.27039	1.27041	629
2020-09-25 16:45:00	1.2704	1.27061	1.27011	1.27011	775
2020-09-25 16:50:00	1.2701	1.27059	1.2701	1.27051	526
2020-09-25 16:55:00	1.27052	1.27062	1.27021	1.27024	780
